"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
44019-013,Hubei Huangshi Urban Pollution Control and Environmental Management Project,"China, People's Republic of",Sovereign,Loan,Closed,2940,15/11/2012,11/15/2012,"100,000,000.00","Guihuawan, Hekou, Huangshi, Huangshi Mining Bureau, Huangshi Shi, Huangshigang, Hujiapeng, Qinggang, Qingshan Lake, Shiji, Sike, Tiehe, Tonghui, Tuanchengshan, Wang Tai Lu, Wangren, Xiqu, Xisai, Ya'er Lake, Yinhu Yuese, Yu Jia Shan Xiang","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Water-based natural resources management | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management",A,C,A,East Asia Department,Huangshi Municipal Government,"Zheng, Baochang",,,
44019-013,Hubei Huangshi Urban Pollution Control and Environmental Management Project,"China, People's Republic of",Sovereign,Loan,Closed,2940,15/11/2012,11/15/2012,"100,000,000.00","Guihuawan, Hekou, Huangshi, Huangshi Mining Bureau, Huangshi Shi, Huangshigang, Hujiapeng, Qinggang, Qingshan Lake, Shiji, Sike, Tiehe, Tonghui, Tuanchengshan, Wang Tai Lu, Wangren, Xiqu, Xisai, Ya'er Lake, Yinhu Yuese, Yu Jia Shan Xiang","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Water-based natural resources management | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management",A,C,A,East Asia Department,Huangshi Municipal Government,"Zheng, Baochang",,,
44019-013,Hubei Huangshi Urban Pollution Control and Environmental Management Project,"China, People's Republic of",Sovereign,Loan,Closed,2940,15/11/2012,11/15/2012,"100,000,000.00","Guihuawan, Hekou, Huangshi, Huangshi Mining Bureau, Huangshi Shi, Huangshigang, Hujiapeng, Qinggang, Qingshan Lake, Shiji, Sike, Tiehe, Tonghui, Tuanchengshan, Wang Tai Lu, Wangren, Xiqu, Xisai, Ya'er Lake, Yinhu Yuese, Yu Jia Shan Xiang","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Water-based natural resources management | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management",A,C,A,East Asia Department,Huangshi Municipal Government,"Zheng, Baochang",,,
44019-013,Hubei Huangshi Urban Pollution Control and Environmental Management Project,"China, People's Republic of",Sovereign,Loan,Closed,2940,15/11/2012,11/15/2012,"100,000,000.00","Guihuawan, Hekou, Huangshi, Huangshi Mining Bureau, Huangshi Shi, Huangshigang, Hujiapeng, Qinggang, Qingshan Lake, Shiji, Sike, Tiehe, Tonghui, Tuanchengshan, Wang Tai Lu, Wangren, Xiqu, Xisai, Ya'er Lake, Yinhu Yuese, Yu Jia Shan Xiang","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Water-based natural resources management | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management",A,C,A,East Asia Department,Huangshi Municipal Government,"Zheng, Baochang",,,
44458-012,Amu Bukhara Irrigation System Rehabilitation,Uzbekistan,Sovereign,Technical Assistance,Closed,7917,15/11/2011,11/15/2011,"225,000.00",,"Agriculture, natural resources and rural development",Irrigation,,,,Central and West Asia Department,Ministry of Water Resources,"Takaku-Bessho, Ryutaro",,,
44458-012,Amu Bukhara Irrigation System Rehabilitation,Uzbekistan,Sovereign,Technical Assistance,Closed,7917,15/11/2011,11/15/2011,"225,000.00",,"Agriculture, natural resources and rural development",Irrigation,,,,Central and West Asia Department,Ministry of Water Resources,"Takaku-Bessho, Ryutaro",,,
44458-012,Amu Bukhara Irrigation System Rehabilitation,Uzbekistan,Sovereign,Technical Assistance,Closed,7917,15/11/2011,11/15/2011,"225,000.00",,"Agriculture, natural resources and rural development",Irrigation,,,,Central and West Asia Department,Ministry of Water Resources,"Takaku-Bessho, Ryutaro",,,
44458-012,Amu Bukhara Irrigation System Rehabilitation,Uzbekistan,Sovereign,Technical Assistance,Closed,7917,15/11/2011,11/15/2011,"225,000.00",,"Agriculture, natural resources and rural development",Irrigation,,,,Central and West Asia Department,Ministry of Water Resources,"Takaku-Bessho, Ryutaro",,,
44458-012,Amu Bukhara Irrigation System Rehabilitation,Uzbekistan,Sovereign,Technical Assistance,Closed,7917,15/11/2011,11/15/2011,"225,000.00",,"Agriculture, natural resources and rural development",Irrigation,,,,Central and West Asia Department,Ministry of Water Resources,"Takaku-Bessho, Ryutaro",,,
44144-012,Strategic Research for Sustainable Food and Nutrition Security in Asia,Regional,Sovereign,Technical Assistance,Closed,7648,15/11/2010,11/15/2010,"4,000,000.00",Regional,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
44158-092,Enabling Climate Change Responses in Asia and the Pacific - Strengthening Planning Capacity for Low Carbon Growth in Developing Asia (Subproject 4),Regional,Sovereign,Technical Assistance,Closed,7645,15/11/2010,11/15/2010,"500,000.00",Regional,"Agriculture, natural resources and rural development | Energy",Forestry | Energy efficiency and conservation | Energy sector development and institutional reform,,,,Economic Research and Development Impact Department,Asian Development Bank,"Raitzer, David Anthony",,,
44144-012,Strategic Research for Sustainable Food and Nutrition Security in Asia,Regional,Sovereign,Technical Assistance,Closed,7648,15/11/2010,11/15/2010,"4,000,000.00",Regional,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
44158-092,Enabling Climate Change Responses in Asia and the Pacific - Strengthening Planning Capacity for Low Carbon Growth in Developing Asia (Subproject 4),Regional,Sovereign,Technical Assistance,Closed,7645,15/11/2010,11/15/2010,"500,000.00",Regional,"Agriculture, natural resources and rural development | Energy",Forestry | Energy efficiency and conservation | Energy sector development and institutional reform,,,,Economic Research and Development Impact Department,Asian Development Bank,"Raitzer, David Anthony",,,
44144-012,Strategic Research for Sustainable Food and Nutrition Security in Asia,Regional,Sovereign,Technical Assistance,Closed,7648,15/11/2010,11/15/2010,"4,000,000.00",Regional,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
44158-092,Enabling Climate Change Responses in Asia and the Pacific - Strengthening Planning Capacity for Low Carbon Growth in Developing Asia (Subproject 4),Regional,Sovereign,Technical Assistance,Closed,7645,15/11/2010,11/15/2010,"500,000.00",Regional,"Agriculture, natural resources and rural development | Energy",Forestry | Energy efficiency and conservation | Energy sector development and institutional reform,,,,Economic Research and Development Impact Department,Asian Development Bank,"Raitzer, David Anthony",,,
44144-012,Strategic Research for Sustainable Food and Nutrition Security in Asia,Regional,Sovereign,Technical Assistance,Closed,7648,15/11/2010,11/15/2010,"4,000,000.00",Regional,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
44158-092,Enabling Climate Change Responses in Asia and the Pacific - Strengthening Planning Capacity for Low Carbon Growth in Developing Asia (Subproject 4),Regional,Sovereign,Technical Assistance,Closed,7645,15/11/2010,11/15/2010,"500,000.00",Regional,"Agriculture, natural resources and rural development | Energy",Forestry | Energy efficiency and conservation | Energy sector development and institutional reform,,,,Economic Research and Development Impact Department,Asian Development Bank,"Raitzer, David Anthony",,,
44144-012,Strategic Research for Sustainable Food and Nutrition Security in Asia,Regional,Sovereign,Technical Assistance,Closed,7648,15/11/2010,11/15/2010,"4,000,000.00",Regional,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
44158-092,Enabling Climate Change Responses in Asia and the Pacific - Strengthening Planning Capacity for Low Carbon Growth in Developing Asia (Subproject 4),Regional,Sovereign,Technical Assistance,Closed,7645,15/11/2010,11/15/2010,"500,000.00",Regional,"Agriculture, natural resources and rural development | Energy",Forestry | Energy efficiency and conservation | Energy sector development and institutional reform,,,,Economic Research and Development Impact Department,Asian Development Bank,"Raitzer, David Anthony",,,
53104-001,Implementing Reforms for Growth and Competitiveness,Timor-Leste,Sovereign,Technical Assistance,Active,9932,17/12/2019,12/17/2019,"1,550,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Water and other urban infrastructure and services","Water-based natural resources management | Energy sector development and institutional reform | Economic affairs management | Urban policy, institutional and capacity development | Urban sanitation",,,,Southeast Asia Department,Ministry for Legislative Reforms and Parliamentary Affairs,"Sandagdorj, Bold",,,
53104-001,Implementing Reforms for Growth and Competitiveness,Timor-Leste,Sovereign,Technical Assistance,Active,9932,17/12/2019,12/17/2019,"1,550,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Water and other urban infrastructure and services","Water-based natural resources management | Energy sector development and institutional reform | Economic affairs management | Urban policy, institutional and capacity development | Urban sanitation",,,,Southeast Asia Department,Ministry for Legislative Reforms and Parliamentary Affairs,"Sandagdorj, Bold",,,
53343-001,"Mainstreaming Impact Evaluation Methodologies, Approaches, and Capacities in Selected Developing Member Countries",Regional,Sovereign,Technical Assistance,Active,45,18/12/2019,12/18/2019,"4,500,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Finance | Public sector management | Transport","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Inclusive finance | Social protection initiatives | Transport policies and institutional development",,,,Economic Research and Development Impact Department,Asian Development Bank,"Yamano, Takashi",,,
